gate_id,requirement,current_evidence,current_status,missing_input,responsible_agent,planned_action,acceptance_evidence,external_dependency,final_disposition
G0-01,Reviewable two-environment Google Cloud architecture,cloud/architecture.md and cloud/terraform,VERIFIED,None for design,Cloud/DevSecOps workstream,Retain architecture under release control,Revision-G static security verification,None,VERIFIED - design only; no resources created
G0-02,"Terraform format, native validate and non-destructive plan",Static HCL/security checks pass; Terraform CLI absent,BLOCKED BY EXTERNAL SYSTEM,"Approved Terraform/OpenTofu CLI, Google project, billing identity and ADC",Cloud owner,Run cloud/scripts/plan_cloud.ps1 after consolidated approval,fmt/validate/plan logs and plan SHA-256,User cloud authorization and tool approval,BLOCKED - no plan or apply claimed
G0-03,"Cloud security, budget and shutdown controls","No external IPs, IAP-only ingress, separate service accounts, budgets, schedules and bucket controls encoded",IMPLEMENTABLE NOW,"Project-specific IAM principals, billing account and reviewed budget",Cloud security owner,Parameterize and plan only after approval,Reviewed plan plus Security Command Center/IAM evidence after apply,Cloud project and billing access,DEPLOYABLE; NOT PROVISIONED
G1-01,Authorized TIA Portal V20 native project and reopen,Portal executable 2000.0.9501.1 and Openness V20 assemblies installed; no genuine AP20,REQUIRES LICENCE,Valid STEP 7/WinCC licences and Siemens TIA Openness group membership,Licensed Siemens engineer,Execute siemens_native handoff and import controlled sources,"Native AP20/ZAP20, reopen log and hashes","Licence, authorization and qualified operator",BLOCKED - no AP20/ZAP20 fabricated
G1-02,"Native PLC, hardware and HMI compile",99 source/simulator contract tests; import-ready SCL/HMI tables,REQUIRES LICENCE,Authorized TIA session and catalog confirmation,Licensed Siemens engineer,Compile and disposition every warning,Raw native compile logs and screenshots,TIA licence/authorization,BLOCKED - source tests are not native compilation
G1-03,Startdrive and PLCSIM execution,Neither Startdrive nor PLCSIM is installed,REQUIRES LICENCE,Approved installers/licences plus motor and pump data,Drives/controls owner,"Install through approved Siemens channel, configure, compile and simulate","Product inventory, native compile and PLCSIM traces","Software, licences and machine data",BLOCKED
G2-01,Production-shaped fail-closed PLC-AI edge contract,"47-node contract, encrypted asyncua integration and immutable ACK behavior; 86 edge and 17 harness tests",VERIFIED,Production S7/Jetson endpoint for deployment acceptance,NVIDIA/controls owners,Retain software contract and repeat on target,Automated unit/integration/fault evidence,Target endpoint for production validation,VERIFIED AS SOFTWARE-ONLY NON-SAFETY CONTRACT
G2-02,"Dataset provenance, taxonomy and split controls","Acquisition/labeling plans, empty controlled manifest and executable validation/split tooling",REQUIRES REAL DATA,Approved representative multi-lot images and annotations,Vision product owner,Collect and double-review approved real data,"Hashed manifest, provenance, class balance, leakage/duplicate review","Real process samples, camera/lighting and data approval",PIPELINE READY; DATASET ABSENT
G2-03,"Real TAO training, independent evaluation and deployment artifacts",Pinned configuration templates and synthetic fail-closed smoke only,REQUIRES REAL DATA,"Approved dataset, Linux GPU runtime and selected architecture",Vision/MLOps owner,"Train, evaluate, export ONNX and generate target TensorRT engine","Raw logs, held-out metrics, model card, artifact hashes and target latency","Dataset, GPU environment and model approval",BLOCKED - no model or metric claimed
G2-04,DeepStream/TAO/TensorRT native runtime,"RTX 5060 driver 595.95 is present; nvcc, Docker, TAO, TensorRT and DeepStream absent",REQUIRES USER APPROVAL,Approved Ubuntu 24.04/container runtime installation or cloud GPU plan,NVIDIA platform owner,Execute pinned environment runbook after approval,"Native version logs, container digest, SBOM and measured smoke/latency logs","Installation approval, registry terms and runtime",BLOCKED - GPU inventory only
G3A-01,Controlled commissioning procedures and blank records,"commissioning directory contains FAT/SAT, inspection, calibration, I/O and safety-review templates",VERIFIED,None for controlled blank templates,Commissioning preparation owner,Issue to qualified execution team,Revision-G consistency and schema verification,None for preparation,VERIFIED AS DOCUMENTATION ONLY
G3A-02,Construction information reconciled to final site/equipment inputs,Deterministic fictional schedules exist; Revision-F vision electrical delta and site calculations remain provisional,REQUIRES REAL DATA,"Supply, earthing, fault current, motors, routes, ambient, enclosure and selected vision hardware",Qualified electrical designer,Finalize calculations and apply controlled QET/CAD change,"Approved calculations, updated native QET/CAD and construction review",Site/equipment data and qualified review,PARTIAL - not construction ready
G3B-01,Physical FAT/SAT and commissioning evidence,Blank records only,REQUIRES HARDWARE,"Built panel/machine, calibrated instruments, site and qualified testers",Commissioning manager,Execute controlled procedures without prefilled values,"Signed raw measurements, punch closure and as-built redlines",Hardware and personnel,0% EXECUTED
G3C-01,Qualified electrical and machinery-safety review,"Conceptual boundary, hazard assumptions and validation template only",REQUIRES QUALIFIED PERSON,Named competent electrical and machinery-safety engineers plus project risk assessment,Project owner,Submit qualified-review handoff,"Signed review, validated calculations and safety lifecycle records",Qualified people and organization approval,0% EXECUTED
