record_type,reference,description,interface_or_location,controlled_basis,status
DEVICE,=FC01+CP01-A100,SIMATIC S7-1500 CPU 1511-1 PN,Panel/field hardware,Native catalog/configuration and delivered hardware state not yet verified,Selected baseline
DEVICE,=FC01+CP01-A101,TM Count 2x24V,Panel/field hardware,Two channels selected; TO configuration and K-factor inputs open,Selected baseline
DEVICE,=FC01+CP01-A102,DI 32x24V DC HF,Panel/field hardware,Front connector and channel parameters included separately,Selected baseline
DEVICE,=FC01+CP01-A103,DQ 32x24V DC/0.5A HF,Panel/field hardware,Field loads use interposing relays,Selected baseline
DEVICE,=FC01+CP01-A104,AI 8xU/I HF,Panel/field hardware,4-20 mA channel diagnostics require native parameterization,Selected baseline
DEVICE,=FC01+CP01-H100,MTP700 Unified Comfort,Panel/field hardware,Door cutout 198.3 x 142 mm; native HMI project/compile open,Selected baseline
DEVICE,=FC01+CP01-U100,SINAMICS G120C PN 0.75 kW unfiltered,Panel/field hardware,"Rating, envelope and clearances blocked by motor/mechanics and native Startdrive",Provisional
DEVICE,=FC01+CP01-U101,SINAMICS G120C PN 0.75 kW unfiltered,Panel/field hardware,"Rating, envelope and clearances blocked by pump curve and motor data",Provisional
DEVICE,=FC01+CP01-SW100,SCALANCE XC208 managed,Panel/field hardware,VLAN-capable Layer 2 switch; firewall/router required for inter-zone traffic,Selected network baseline
DEVICE,=FC01+CP01-FW100,SCALANCE S615 EEC,Panel/field hardware,Exact width and site policy remain procurement/native gates,Selected network baseline
DEVICE,=FC01+CP01-PC200,Jetson Orin NX 16GB on industrial carrier,Panel/field hardware,"Carrier, thermals, power, EMC and lifecycle are open",Architecture only
DEVICE,=FC01+CP01-MC100,SIMATIC memory card; capacity to be selected after compiled project sizing,Panel,Native compiled project size unavailable,TBD
DEVICE,=FC01+CP01-RA100,S7-1500 mounting rail and fixing hardware,Panel,Rail length depends on final cabinet layout,TBD
DEVICE,=FC01+CP01-FC100,Front connector for DI module,Panel,Exact accessory to be confirmed in TIA Selection Tool,TBD
DEVICE,=FC01+CP01-FC101,Front connector for DQ module,Panel,Exact accessory to be confirmed in TIA Selection Tool,TBD
DEVICE,=FC01+CP01-FC102,Front connector for AI module,Panel,Exact accessory to be confirmed in TIA Selection Tool,TBD
DEVICE,=FC01+CP01-FC103,Front connector for TM Count module,Panel,Exact accessory to be confirmed in TIA Selection Tool,TBD
DEVICE,=FC01+CP01-QS100,Main door-coupled isolator,Panel,"Supply, fault current and regulatory basis missing",TBD
DEVICE,=FC01+CP01-QF100,Main protective device,Panel,"Fault level, load and selectivity study missing",TBD
