ecr,reason,affected,compatibility,test_impact,risk,migration
ECR-C-001,Correct malformed Siemens sources and implement cyclic integration,scripts/build_project.py; 04_controls_siemens/scl,TIA V20 source design; native compile open,Static SCL lint and call-graph checks,Uncompiled source may require TIA syntax correction,Import in documented order; compile before use
ECR-C-002,Separate HMI commands from physical outputs,Canonical HMI model; HMI schedule; command manager,WinCC tag import must be rebuilt,Direct-output-write negative checks,HMI project absent,Bind only DB_HMI command requests and response fields
ECR-C-003,Make PROFINET Standard Telegram 1 the drive primary interface,PLC I/O; drive PZD schedule; FB_VFD,Hardwired run/status removed,Telegram reconciliation,Startdrive/native addresses unconfirmed,Confirm PZD in native TIA/Startdrive before commissioning
ECR-C-004,Replace unmanaged/misidentified switch architecture,"Hardware, network, BOM, panel",Adds XC208 and S615,Network allow-list review,Site cyber policy absent,Native firewall/switch configuration required
ECR-C-005,Replace lookup-table simulation and expand electrical control data,11_simulation; canonical schedules; QA,CSV schemas changed,"Dynamic properties, traces, manifest",No native/physical proof,Use independent evidence only
ECR-D-001,Close vision stale-result recovery and monotonic transaction defects,revision_d_scl.py; edge service; interface tests,Result publication must deassert before rearm; ID 0/wrap rejected,Direct stale/duplicate/future/stuck/delayed/reset tests,Native SCL compile and OPC UA binding remain open,Import Revision-D sources and implement controlled result acknowledgement
ECR-D-002,Detect missing pulse/analog flow channels using explicit valid windows,FB_FillChannel; alarm schedule; interface model,Adds channel diagnostics and pulse-channel fault bindings,"Startup, timer-boundary, rollover/regression and independent-channel tests",Native TM Count/AI diagnostics remain open,Bind native channel diagnostics before commissioning
ECR-D-003,Make reproduction/report/manifest outputs deterministic and complete,reproduce_validation.ps1; validators; artifact builders; manifest,Controlled hashes change from Revision C,Two-clean-run hash comparison and final verifier,Native binary producers may require metadata normalization,Use only the Revision-D reproduction entry point
ECR-D-004,Correct Revision-D electrical evidence semantics and panel-boundary defects,component rationale; individual output relays; panel placement; validation,Rationale rows expand and PE-bar reservation moves inside the 800 mm boundary,Semantic rationale and clearance-boundary checks,"Native QET/CAD, final relay ratings and construction review remain blocked",Regenerate schedules and use the corrected Revision-D rationale/placement data only
ECR-D1-001,Make committed Git objects the release byte authority,.gitattributes; QET/DXF blobs; manifest/determinism/reproduction scripts; CI,Text is LF; native/exchange/binary artifacts are byte-exact; QET/DXF CRLF originals are force-readded,"Fresh-clone validator, staged/head manifest verification, superseded-path denial and two-snapshot determinism",Self-hosted artifact CI requires the controlled workbook/PDF runtime,Build manifests only from a complete staged index and accept releases only after clean-clone HEAD reproduction
