component,version,license_metadata,role,source,status
aiosqlite,0.22.1,NOT DECLARED IN INSTALLED METADATA,asyncua dependency,https://pypi.org/project/aiosqlite/,LICENCE REVIEW REQUIRED BEFORE PRODUCTION DISTRIBUTION
anyio,4.14.2,MIT,asyncua dependency,https://pypi.org/project/anyio/,RECORDED
asyncua,2.0.1,GNU Lesser General Public License v3 or later,OPC UA client/server integration,https://pypi.org/project/asyncua/,RECORDED
cffi,2.1.0,MIT-0,cryptographic dependency,https://pypi.org/project/cffi/,RECORDED
cryptography,50.0.0,Apache-2.0 OR BSD-3-Clause,X.509 and secure-channel dependency,https://pypi.org/project/cryptography/,RECORDED
idna,3.18,BSD-3-Clause,network dependency,https://pypi.org/project/idna/,RECORDED
pycparser,3.0,BSD-3-Clause,cffi dependency,https://pypi.org/project/pycparser/,RECORDED
pyOpenSSL,26.4.0,Apache License Version 2.0,X.509 integration dependency,https://pypi.org/project/pyOpenSSL/,RECORDED
python-dateutil,2.9.0.post0,Dual License,timestamp dependency,https://pypi.org/project/python-dateutil/,LICENCE TERMS REQUIRE PROJECT REVIEW
pytz,2026.3.post1,MIT,timezone dependency,https://pypi.org/project/pytz/,RECORDED
six,1.17.0,MIT,compatibility dependency,https://pypi.org/project/six/,RECORDED
sortedcontainers,2.4.0,Apache 2.0,asyncua dependency,https://pypi.org/project/sortedcontainers/,RECORDED
typing_extensions,4.16.0,PSF-2.0,typing compatibility dependency,https://pypi.org/project/typing-extensions/,RECORDED
