wire_no,from,to,symbol,color,cross_section_mm2
W0001,X100:1,-A102:0,SAFETY_OK,BK,0.75
W0002,X100:2,-A102:1,GUARD_CLOSED_STATUS,BK,0.75
W0003,X100:3,-A102:2,AIR_PRESSURE_OK,BK,0.75
W0004,X100:4,-A102:3,PRODUCT_SUPPLY_OK,BK,0.75
W0005,X100:5,-A102:4,CONVEYOR_READY,BK,0.75
W0006,X100:6,-A102:5,CONVEYOR_RUNNING,BK,0.75
W0007,X100:7,-A102:6,CONVEYOR_FAULT,BK,0.75
W0008,X100:8,-A102:7,PUMP_READY,BK,0.75
W0009,X100:9,-A102:8,PUMP_RUNNING,BK,0.75
W0010,X100:10,-A102:9,PUMP_FAULT,BK,0.75
W0011,X100:11,-A102:10,BOTTLE_AT_NEST_1,BK,0.75
W0012,X100:12,-A102:11,BOTTLE_AT_NEST_2,BK,0.75
W0013,X100:13,-A102:12,GATE_OPEN_FB,BK,0.75
W0014,X100:14,-A102:13,GATE_CLOSED_FB,BK,0.75
W0015,X100:15,-A102:14,CLAMP_RELEASED_FB,BK,0.75
W0016,X100:16,-A102:15,CLAMP_ENGAGED_FB,BK,0.75
W0017,X100:17,-A102:16,FILL_VALVE_1_CLOSED_FB,BK,0.75
W0018,X100:18,-A102:17,FILL_VALVE_2_CLOSED_FB,BK,0.75
W0019,X100:19,-A102:18,CAPPER_READY,BK,0.75
W0020,X100:20,-A102:19,CAPPER_BUSY,BK,0.75
W0021,X100:21,-A102:20,CAPPER_COMPLETE,BK,0.75
W0022,X100:22,-A102:21,CAPPER_FAULT,BK,0.75
W0023,X100:23,-A102:22,LOCAL_RESET_PB,BK,0.75
W0024,X100:24,-A102:23,LOCAL_STOP_PB,BK,0.75
W0025,X101:1,-A102:24,DI_SPARE_01,BK,0.75
W0026,X101:2,-A102:25,DI_SPARE_02,BK,0.75
W0027,X101:3,-A102:26,DI_SPARE_03,BK,0.75
W0028,X101:4,-A102:27,DI_SPARE_04,BK,0.75
W0029,X101:5,-A102:28,DI_SPARE_05,BK,0.75
W0030,X101:6,-A102:29,DI_SPARE_06,BK,0.75
W0031,X101:7,-A102:30,DI_SPARE_07,BK,0.75
W0032,X101:8,-A102:31,DI_SPARE_08,BK,0.75
W0033,X101:9,-A103:0,CONVEYOR_RUN_CMD,BK,0.75
W0034,X101:10,-A103:1,PUMP_RUN_CMD,BK,0.75
W0035,X101:11,-A103:2,FILL_VALVE_1_OPEN_CMD,BK,0.75
W0036,X101:12,-A103:3,FILL_VALVE_2_OPEN_CMD,BK,0.75
W0037,X101:13,-A103:4,GATE_OPEN_CMD,BK,0.75
W0038,X101:14,-A103:5,GATE_CLOSE_CMD,BK,0.75
W0039,X101:15,-A103:6,CLAMP_ENGAGE_CMD,BK,0.75
W0040,X101:16,-A103:7,CLAMP_RELEASE_CMD,BK,0.75
W0041,X101:17,-A103:8,CAPPER_REQUEST,BK,0.75
W0042,X101:18,-A103:9,STACK_GREEN,BK,0.75
W0043,X101:19,-A103:10,STACK_AMBER,BK,0.75
W0044,X101:20,-A103:11,STACK_RED,BK,0.75
W0045,X101:21,-A103:12,AUDIBLE_ALARM,BK,0.75
W0046,X101:22,-A103:13,CAMERA_LIGHT_ENABLE,BK,0.75
W0047,X101:23,-A103:14,DO_SPARE_01,BK,0.75
W0048,X101:24,-A103:15,DO_SPARE_02,BK,0.75
W0049,X102:1,-A103:16,DO_SPARE_03,BK,0.75
W0050,X102:2,-A103:17,DO_SPARE_04,BK,0.75
W0051,X102:3,-A103:18,DO_SPARE_05,BK,0.75
W0052,X102:4,-A103:19,DO_SPARE_06,BK,0.75
W0053,X102:5,-A103:20,DO_SPARE_07,BK,0.75
W0054,X102:6,-A103:21,DO_SPARE_08,BK,0.75
W0055,X102:7,-A103:22,DO_SPARE_09,BK,0.75
W0056,X102:8,-A103:23,DO_SPARE_10,BK,0.75
W0057,X102:9,-A103:24,DO_SPARE_11,BK,0.75
W0058,X102:10,-A103:25,DO_SPARE_12,BK,0.75
W0059,X102:11,-A103:26,DO_SPARE_13,BK,0.75
W0060,X102:12,-A103:27,DO_SPARE_14,BK,0.75
W0061,X102:13,-A103:28,DO_SPARE_15,BK,0.75
W0062,X102:14,-A103:29,DO_SPARE_16,BK,0.75
W0063,X102:15,-A103:30,DO_SPARE_17,BK,0.75
W0064,X102:16,-A103:31,DO_SPARE_18,BK,0.75
W0065,X102:17,-A104:0,FLOW_1_MA_RAW,BU,0.5 shielded
W0066,X102:18,-A104:1,FLOW_2_MA_RAW,BU,0.5 shielded
W0067,X102:19,-A104:2,AI_SPARE_01,BU,0.5 shielded
W0068,X102:20,-A104:3,AI_SPARE_02,BU,0.5 shielded
W0069,X102:21,-A104:4,AI_SPARE_03,BU,0.5 shielded
W0070,X102:22,-A104:5,AI_SPARE_04,BU,0.5 shielded
W0071,X102:23,-A104:6,AI_SPARE_05,BU,0.5 shielded
W0072,X102:24,-A104:7,AI_SPARE_06,BU,0.5 shielded
W0073,X103:1,-A101:CH0 A,FLOW_1_PULSE,BK,0.75
W0074,X103:2,-A101:CH1 A,FLOW_2_PULSE,BK,0.75
