signal,node_id,direction
VISION_ENABLE,ns=3;s=FC01.Vision.VISION_ENABLE,PLC_to_NVIDIA
INSPECTION_TRIGGER,ns=3;s=FC01.Vision.INSPECTION_TRIGGER,PLC_to_NVIDIA
INSPECTION_ID,ns=3;s=FC01.Vision.INSPECTION_ID,PLC_to_NVIDIA
RECIPE_ID,ns=3;s=FC01.Vision.RECIPE_ID,PLC_to_NVIDIA
EXPECTED_BOTTLES,ns=3;s=FC01.Vision.EXPECTED_BOTTLES,PLC_to_NVIDIA
TARGET_FILL_LEVEL,ns=3;s=FC01.Vision.TARGET_FILL_LEVEL,PLC_to_NVIDIA
PLC_HEARTBEAT,ns=3;s=FC01.Vision.PLC_HEARTBEAT,PLC_to_NVIDIA
VISION_READY,ns=3;s=FC01.Vision.VISION_READY,NVIDIA_to_PLC
VISION_BUSY,ns=3;s=FC01.Vision.VISION_BUSY,NVIDIA_to_PLC
RESULT_VALID,ns=3;s=FC01.Vision.RESULT_VALID,NVIDIA_to_PLC
RESULT_ID,ns=3;s=FC01.Vision.RESULT_ID,NVIDIA_to_PLC
BOTTLE_1_PASS,ns=3;s=FC01.Vision.BOTTLE_1_PASS,NVIDIA_to_PLC
BOTTLE_2_PASS,ns=3;s=FC01.Vision.BOTTLE_2_PASS,NVIDIA_to_PLC
FILL_1_STATUS,ns=3;s=FC01.Vision.FILL_1_STATUS,NVIDIA_to_PLC
FILL_2_STATUS,ns=3;s=FC01.Vision.FILL_2_STATUS,NVIDIA_to_PLC
LEAK_OR_SPILL_DETECTED,ns=3;s=FC01.Vision.LEAK_OR_SPILL_DETECTED,NVIDIA_to_PLC
LOW_CONFIDENCE,ns=3;s=FC01.Vision.LOW_CONFIDENCE,NVIDIA_to_PLC
VISION_WARNING,ns=3;s=FC01.Vision.VISION_WARNING,NVIDIA_to_PLC
VISION_FAULT,ns=3;s=FC01.Vision.VISION_FAULT,NVIDIA_to_PLC
INFERENCE_TIME,ns=3;s=FC01.Vision.INFERENCE_TIME,NVIDIA_to_PLC
VISION_HEARTBEAT,ns=3;s=FC01.Vision.VISION_HEARTBEAT,NVIDIA_to_PLC
VISION_RESULT_ACK_ID,ns=3;s=FC01.Vision.VISION_RESULT_ACK_ID,PLC_to_NVIDIA
VISION_SESSION_EPOCH,ns=3;s=FC01.Vision.VISION_SESSION_EPOCH,PLC_to_NVIDIA
VISION_RESULT_SESSION_EPOCH,ns=3;s=FC01.Vision.VISION_RESULT_SESSION_EPOCH,NVIDIA_to_PLC
VISION_DIAG_REASON,ns=3;s=FC01.Vision.VISION_DIAG_REASON,PLC_to_NVIDIA
VISION_MODEL_ID,ns=3;s=FC01.Vision.VISION_MODEL_ID,NVIDIA_to_PLC
VISION_MODEL_SHA256,ns=3;s=FC01.Vision.VISION_MODEL_SHA256,NVIDIA_to_PLC
MAINTENANCE_MODE,ns=3;s=FC01.Vision.MAINTENANCE_MODE,PLC_to_NVIDIA
EXPECTED_DATASET_ID,ns=3;s=FC01.Vision.EXPECTED_DATASET_ID,PLC_to_NVIDIA
EXPECTED_CALIBRATION_ID,ns=3;s=FC01.Vision.EXPECTED_CALIBRATION_ID,PLC_to_NVIDIA
CAPTURE_ACK_ID,ns=3;s=FC01.Vision.CAPTURE_ACK_ID,NVIDIA_to_PLC
PROCESSING_STATE,ns=3;s=FC01.Vision.PROCESSING_STATE,NVIDIA_to_PLC
SERVICE_HEALTHY,ns=3;s=FC01.Vision.SERVICE_HEALTHY,NVIDIA_to_PLC
CAMERA_HEALTHY,ns=3;s=FC01.Vision.CAMERA_HEALTHY,NVIDIA_to_PLC
MODEL_LOADED,ns=3;s=FC01.Vision.MODEL_LOADED,NVIDIA_to_PLC
MAINTENANCE_ACTIVE,ns=3;s=FC01.Vision.MAINTENANCE_ACTIVE,NVIDIA_to_PLC
RESULT_DISPOSITION,ns=3;s=FC01.Vision.RESULT_DISPOSITION,NVIDIA_to_PLC
REASON_BITS,ns=3;s=FC01.Vision.REASON_BITS,NVIDIA_to_PLC
CONFIDENCE,ns=3;s=FC01.Vision.CONFIDENCE,NVIDIA_to_PLC
DATASET_ID,ns=3;s=FC01.Vision.DATASET_ID,NVIDIA_to_PLC
CALIBRATION_ID,ns=3;s=FC01.Vision.CALIBRATION_ID,NVIDIA_to_PLC
CAPTURE_TIMESTAMP_UTC_MS,ns=3;s=FC01.Vision.CAPTURE_TIMESTAMP_UTC_MS,NVIDIA_to_PLC
INFERENCE_TIMESTAMP_UTC_MS,ns=3;s=FC01.Vision.INFERENCE_TIMESTAMP_UTC_MS,NVIDIA_to_PLC
PUBLICATION_TIMESTAMP_UTC_MS,ns=3;s=FC01.Vision.PUBLICATION_TIMESTAMP_UTC_MS,NVIDIA_to_PLC
PROCESSING_TIME_MS,ns=3;s=FC01.Vision.PROCESSING_TIME_MS,NVIDIA_to_PLC
DIAGNOSTIC_CODE,ns=3;s=FC01.Vision.DIAGNOSTIC_CODE,NVIDIA_to_PLC
QUEUE_DEPTH,ns=3;s=FC01.Vision.QUEUE_DEPTH,NVIDIA_to_PLC
