hole_id,x_local_mm,y_local_mm,x_global_mm,y_global_mm,diameter_mm,associated_feature,dimension_basis,engineering_status
MP-FIX-01,20,20,45.0,45.0,8.5,Mounting plate interface,Controlled enclosure-interface assumption; confirm selected enclosure mounting-plate hardware,PROVISIONAL — DO NOT DRILL BEFORE VENDOR CONFIRMATION
MP-FIX-02,730,20,755.0,45.0,8.5,Mounting plate interface,Controlled enclosure-interface assumption; confirm selected enclosure mounting-plate hardware,PROVISIONAL — DO NOT DRILL BEFORE VENDOR CONFIRMATION
MP-FIX-03,20,730,45.0,755.0,8.5,Mounting plate interface,Controlled enclosure-interface assumption; confirm selected enclosure mounting-plate hardware,PROVISIONAL — DO NOT DRILL BEFORE VENDOR CONFIRMATION
MP-FIX-04,730,730,755.0,755.0,8.5,Mounting plate interface,Controlled enclosure-interface assumption; confirm selected enclosure mounting-plate hardware,PROVISIONAL — DO NOT DRILL BEFORE VENDOR CONFIRMATION
RA100-R1-01,285,605,310.0,630.0,5.5,RA100-R1,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA100-R1-02,385,605,410.0,630.0,5.5,RA100-R1,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA100-R1-03,485,605,510.0,630.0,5.5,RA100-R1,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA100-R1-04,585,605,610.0,630.0,5.5,RA100-R1,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA100-R1-05,685,605,710.0,630.0,5.5,RA100-R1,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA101-R2-01,285,375,310.0,400.0,5.5,RA101-R2,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
RA101-R2-02,385,375,410.0,400.0,5.5,RA101-R2,35 mm DIN-rail fixing pattern controlled for layout; rail supplier/fixing hardware open,PROVISIONAL — VERIFY RAIL AND FIXING SYSTEM BEFORE MANUFACTURE
