signal,node_id,scl_type,owner,plc_binding,plc_application_access,transaction_rule
VISION_ENABLE,ns=3;s=FC01.Vision.VISION_ENABLE,Bool,PLC,DB_VisionComms.Enable,Write by PLC only,False during startup maintenance fault or unapproved configuration
INSPECTION_TRIGGER,ns=3;s=FC01.Vision.INSPECTION_TRIGGER,Bool,PLC,DB_VisionComms.Trigger,Write by PLC only,Level-held until exact capture acknowledgement or terminal result
INSPECTION_ID,ns=3;s=FC01.Vision.INSPECTION_ID,UDInt,PLC,DB_VisionComms.InspectionId,Write by PLC only,Strictly monotonic nonzero within session
RECIPE_ID,ns=3;s=FC01.Vision.RECIPE_ID,UInt,PLC,DB_VisionComms.RecipeId,Write by PLC only,Frozen for active transaction
EXPECTED_BOTTLES,ns=3;s=FC01.Vision.EXPECTED_BOTTLES,USInt,PLC,DB_VisionComms.ExpectedBottles,Write by PLC only,Production value exactly two
TARGET_FILL_LEVEL,ns=3;s=FC01.Vision.TARGET_FILL_LEVEL,Real,PLC,DB_VisionComms.TargetFillLevel,Write by PLC only,Frozen for active transaction
PLC_HEARTBEAT,ns=3;s=FC01.Vision.PLC_HEARTBEAT,UDInt,PLC,DB_VisionComms.PlcHeartbeat,Write by PLC only,Monotonic serial counter
VISION_READY,ns=3;s=FC01.Vision.VISION_READY,Bool,NVIDIA,DB_VisionComms.Ready,Read by PLC only,False on degraded or unsynchronized edge
VISION_BUSY,ns=3;s=FC01.Vision.VISION_BUSY,Bool,NVIDIA,DB_VisionComms.Busy,Read by PLC only,True only for active request
RESULT_VALID,ns=3;s=FC01.Vision.RESULT_VALID,Bool,NVIDIA,DB_VisionComms.Result.ResultValid,Read by PLC only,Written last and held until exact ACK
RESULT_ID,ns=3;s=FC01.Vision.RESULT_ID,UDInt,NVIDIA,DB_VisionComms.Result.ResultId,Read by PLC only,Exact request ID
BOTTLE_1_PASS,ns=3;s=FC01.Vision.BOTTLE_1_PASS,Bool,NVIDIA,DB_VisionComms.Result.Bottle1Pass,Read by PLC only,Raw quality field never sole release
