symbol,direction,address,module,channel,device,description,safe_default,classification
SAFETY_OK,DI,I0.0,-A102,0,-K100,"Dry-contact mirror from the external safety interface; monitoring only, never a safety control channel",FALSE,Standard control
GUARD_CLOSED_STATUS,DI,I0.1,-A102,1,-S102,"Dry-contact guard-status mirror; monitoring only, never a safety control channel",FALSE,Standard control
AIR_PRESSURE_OK,DI,I0.2,-A102,2,-B100,Pneumatic pressure switch,FALSE,Standard control
PRODUCT_SUPPLY_OK,DI,I0.3,-A102,3,-B101,Product supply permissive,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_01,DI,I0.4,-A102,4,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_02,DI,I0.5,-A102,5,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_03,DI,I0.6,-A102,6,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_04,DI,I0.7,-A102,7,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_05,DI,I1.0,-A102,8,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DI_SPARE_DRIVE_REMOVED_06,DI,I1.1,-A102,9,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
BOTTLE_AT_NEST_1,DI,I1.2,-A102,10,-B110,Bottle 1 position sensor,FALSE,Standard control
BOTTLE_AT_NEST_2,DI,I1.3,-A102,11,-B111,Bottle 2 position sensor,FALSE,Standard control
GATE_OPEN_FB,DI,I1.4,-A102,12,-B120,Gate open feedback,FALSE,Standard control
GATE_CLOSED_FB,DI,I1.5,-A102,13,-B121,Gate closed feedback,FALSE,Standard control
CLAMP_RELEASED_FB,DI,I1.6,-A102,14,-B122,Clamp released feedback,FALSE,Standard control
CLAMP_ENGAGED_FB,DI,I1.7,-A102,15,-B123,Clamp engaged feedback,FALSE,Standard control
FILL_VALVE_1_CLOSED_FB,DI,I2.0,-A102,16,-B130,Valve 1 closed proof,FALSE,Standard control
FILL_VALVE_2_CLOSED_FB,DI,I2.1,-A102,17,-B131,Valve 2 closed proof,FALSE,Standard control
CAPPER_READY,DI,I2.2,-A102,18,-IF140,Capping station ready,FALSE,Standard control
CAPPER_BUSY,DI,I2.3,-A102,19,-IF140,Capping station busy,FALSE,Standard control
CAPPER_COMPLETE,DI,I2.4,-A102,20,-IF140,Capping complete acknowledgement,FALSE,Standard control
CAPPER_FAULT,DI,I2.5,-A102,21,-IF140,Capping fault,FALSE,Standard control
LOCAL_RESET_PB,DI,I2.6,-A102,22,-S100,Local reset pushbutton,FALSE,Standard control
LOCAL_STOP_PB,DI,I2.7,-A102,23,-S101,Local controlled-stop pushbutton,FALSE,Standard control
DI_SPARE_01,DI,I3.0,-A102,24,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_02,DI,I3.1,-A102,25,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_03,DI,I3.2,-A102,26,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_04,DI,I3.3,-A102,27,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_05,DI,I3.4,-A102,28,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_06,DI,I3.5,-A102,29,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_07,DI,I3.6,-A102,30,SPARE,Allocated spare input,FALSE,Standard control
DI_SPARE_08,DI,I3.7,-A102,31,SPARE,Allocated spare input,FALSE,Standard control
DO_SPARE_DRIVE_REMOVED_01,DO,Q0.0,-A103,0,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
DO_SPARE_DRIVE_REMOVED_02,DO,Q0.1,-A103,1,SPARE,Spare channel; hardwired drive run/status removed because Standard Telegram 1 PROFINET is primary,FALSE,Standard control
FILL_VALVE_1_OPEN_CMD,DO,Q0.2,-A103,2,-K202,Valve 1 interposing relay,FALSE,Standard control
FILL_VALVE_2_OPEN_CMD,DO,Q0.3,-A103,3,-K203,Valve 2 interposing relay,FALSE,Standard control
GATE_OPEN_CMD,DO,Q0.4,-A103,4,-K204,Gate open relay,FALSE,Standard control
GATE_CLOSE_CMD,DO,Q0.5,-A103,5,-K205,Gate close relay,FALSE,Standard control
CLAMP_ENGAGE_CMD,DO,Q0.6,-A103,6,-K206,Clamp engage relay,FALSE,Standard control
CLAMP_RELEASE_CMD,DO,Q0.7,-A103,7,-K207,Clamp release relay,FALSE,Standard control
CAPPER_REQUEST,DO,Q1.0,-A103,8,-K208,Capping request relay,FALSE,Standard control
STACK_GREEN,DO,Q1.1,-A103,9,-K209,Green beacon relay,FALSE,Standard control
STACK_AMBER,DO,Q1.2,-A103,10,-K210,Amber beacon relay,FALSE,Standard control
STACK_RED,DO,Q1.3,-A103,11,-K211,Red beacon relay,FALSE,Standard control
AUDIBLE_ALARM,DO,Q1.4,-A103,12,-K212,Sounder relay,FALSE,Standard control
CAMERA_LIGHT_ENABLE,DO,Q1.5,-A103,13,-K213,Vision lighting relay,FALSE,Standard control
DO_SPARE_01,DO,Q1.6,-A103,14,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_02,DO,Q1.7,-A103,15,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_03,DO,Q2.0,-A103,16,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_04,DO,Q2.1,-A103,17,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_05,DO,Q2.2,-A103,18,SPARE,Allocated spare output,FALSE,Standard control
DO_SPARE_06,DO,Q2.3,-A103,19,SPARE,Allocated spare output,FALSE,Standard control
