item_id,designation,category,description,voltage_vdc,allowance_w,allowance_a,protection_concept,terminal_or_port,cable_id,status,closure_input,rationale
NED-001,=FC01+CP01-F220,Protection,Edge-computer protected branch,24,60,2.5,Dedicated electronic protection or fuse; rating TBD,X200:1-2,C200,PROVISIONAL,Carrier input range steady/inrush current and selected protection data,Separates the highest vision load so an edge fault can be isolated without removing PLC control power
NED-002,=FC01+FLD-CAM200,Camera,Vision camera power reservation,24,12,0.5,Dedicated protected branch; PoE not assumed,X200:3-4,C201,PROVISIONAL,Camera selection voltage PoE class connector and environment,Reserves field-camera power independently because final voltage and PoE topology remain unselected
NED-003,=FC01+FLD-LT200,Lighting,Vision light or strobe allowance,24,20,0.833,Dedicated protected branch through -K213 command path,X200:5-6,C203,PROVISIONAL,Light controller current pulse duty inrush and topology,Separates pulsed lighting load and preserves PLC-controlled enable through the existing interposing path
NED-004,=FC01+CP01-XS200,Service,Vision service-interface allowance,24,8,0.333,Dedicated maintenance-only branch,X200:7-8,C204,PROVISIONAL,Service interface and site maintenance policy,Reserves service power without treating a maintenance interface as continuously enabled production equipment
NED-005,=FC01+CP01-X200,Terminal,Reserved eight-position vision terminal group,24,0,0,Terminal family and accessories TBD,X200:1-8,,RESERVED,Terminal family bridging PE FE and disconnect requirements,Creates a controlled termination boundary for the four provisional vision branches before field hardware is selected
NED-006,=FC01+CP01-SW100:P5,Network,Edge-compute quality-zone access port,0,0,0,Managed access port VLAN 20,SW100:P5,C202,RESERVED,Approved switch configuration and edge NIC,Provides a dedicated managed edge-compute link in the quality zone with an unambiguous cable identity
NED-007,=FC01+CP01-SW100:P6,Network,Camera quality-zone port or approved direct-edge alternative,0,0,0,Managed access port VLAN 20; PoE not assumed,SW100:P6,C205,RESERVED,Camera topology bandwidth time sync and cybersecurity approval,Separates the camera link from the edge link so installation and diagnostics cannot conflate two physical network paths
NED-008,=FC01+CP01-SW100:P7,Network,Disabled-by-default maintenance port,0,0,0,Enable only in approved maintenance window,SW100:P7,C206,RESERVED,Site access-control and logging policy,Creates a uniquely identified maintenance conduit that can remain administratively disabled outside approved work
NED-009,=FC01+CP01-SW100:P8,Network,Future quality-zone spare port,0,0,0,Administratively disabled until change control,SW100:P8,,SPARE,Approved expansion ECR,Preserves managed expansion capacity without authorizing an unidentified connected device or cable
NED-010,=FC01+CP01-PE200,Grounding,Vision FE PE and shield termination reservation,0,0,0,Bonding and shield clamps TBD,PE200,,PROVISIONAL,Earthing system EMC plan fault current and vendor instructions,Reserves the functional-earth protective-earth and shield boundary required for an EMC-controlled installation
