signal,data_type,owner,meaning,transport,timeout_ms,opcua_type,byte_order,update_rule,invalid_action
VISION_ENABLE,BOOL,PLC,Enable inspection service,OPC UA ns=3;s=FC01.Vision.VISION_ENABLE,0,Boolean,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
INSPECTION_TRIGGER,BOOL,PLC,Level-held inspection request; remains true until coherent BUSY observation or terminal result for the immutable session/inspection ID,OPC UA ns=3;s=FC01.Vision.INSPECTION_TRIGGER,0,Boolean,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
INSPECTION_ID,UDINT,PLC,Monotonic correlation identifier,OPC UA ns=3;s=FC01.Vision.INSPECTION_ID,0,UInt32,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
RECIPE_ID,UINT,PLC,Active recipe identifier,OPC UA ns=3;s=FC01.Vision.RECIPE_ID,0,UInt16,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
EXPECTED_BOTTLES,USINT,PLC,Expected count; fixed at 2 for production,OPC UA ns=3;s=FC01.Vision.EXPECTED_BOTTLES,0,Byte,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
TARGET_FILL_LEVEL,REAL,PLC,Normalized visible target,OPC UA ns=3;s=FC01.Vision.TARGET_FILL_LEVEL,0,Float,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
PLC_HEARTBEAT,UDINT,PLC,Monotonic heartbeat counter,OPC UA ns=3;s=FC01.Vision.PLC_HEARTBEAT,0,UInt32,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
VISION_READY,BOOL,NVIDIA,Pipeline and model ready,OPC UA ns=3;s=FC01.Vision.VISION_READY,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_BUSY,BOOL,NVIDIA,Request in progress,OPC UA ns=3;s=FC01.Vision.VISION_BUSY,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
RESULT_VALID,BOOL,NVIDIA,Result payload is complete,OPC UA ns=3;s=FC01.Vision.RESULT_VALID,1000,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
RESULT_ID,UDINT,NVIDIA,Echoed correlation identifier,OPC UA ns=3;s=FC01.Vision.RESULT_ID,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
BOTTLE_1_PASS,BOOL,NVIDIA,Bottle 1 quality decision,OPC UA ns=3;s=FC01.Vision.BOTTLE_1_PASS,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
BOTTLE_2_PASS,BOOL,NVIDIA,Bottle 2 quality decision,OPC UA ns=3;s=FC01.Vision.BOTTLE_2_PASS,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
FILL_1_STATUS,USINT,NVIDIA,"0 unknown, 1 under, 2 in-range, 3 over",OPC UA ns=3;s=FC01.Vision.FILL_1_STATUS,0,Byte,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
FILL_2_STATUS,USINT,NVIDIA,"0 unknown, 1 under, 2 in-range, 3 over",OPC UA ns=3;s=FC01.Vision.FILL_2_STATUS,0,Byte,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
LEAK_OR_SPILL_DETECTED,BOOL,NVIDIA,Visible leak/spill indication,OPC UA ns=3;s=FC01.Vision.LEAK_OR_SPILL_DETECTED,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
LOW_CONFIDENCE,BOOL,NVIDIA,Confidence below validated threshold,OPC UA ns=3;s=FC01.Vision.LOW_CONFIDENCE,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_WARNING,BOOL,NVIDIA,Degraded but communicating,OPC UA ns=3;s=FC01.Vision.VISION_WARNING,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_FAULT,BOOL,NVIDIA,Blocking internal fault,OPC UA ns=3;s=FC01.Vision.VISION_FAULT,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
INFERENCE_TIME,UDINT,NVIDIA,Measured pipeline time in milliseconds,OPC UA ns=3;s=FC01.Vision.INFERENCE_TIME,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_HEARTBEAT,UDINT,NVIDIA,Monotonic heartbeat counter,OPC UA ns=3;s=FC01.Vision.VISION_HEARTBEAT,1000,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_RESULT_ACK_ID,UDINT,PLC,Acknowledges the immutable published result; edge clears RESULT_VALID only on exact match,OPC UA ns=3;s=FC01.Vision.VISION_RESULT_ACK_ID,0,UInt32,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
VISION_SESSION_EPOCH,UDINT,PLC,PLC startup/session correlation; reconnect must not replay a prior-session release,OPC UA ns=3;s=FC01.Vision.VISION_SESSION_EPOCH,0,UInt32,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
VISION_RESULT_SESSION_EPOCH,UDINT,NVIDIA,Echoes the request session epoch in the immutable result; PLC rejects cross-session publication,OPC UA ns=3;s=FC01.Vision.VISION_RESULT_SESSION_EPOCH,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_DIAG_REASON,UINT,PLC,First-out PLC interface diagnostic enumeration,OPC UA ns=3;s=FC01.Vision.VISION_DIAG_REASON,0,UInt16,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
