tag,role,manufacturer,model,order_no,qty,selection,firmware,width_mm,height_mm,depth_mm,status,source_url,source_accessed,full_designation
-A100,PLC CPU,Siemens,SIMATIC S7-1500 CPU 1511-1 PN,6ES7511-1AL03-0AB0,1,Selected baseline,FS03 / FW V4.0 for native TIA V20 engineering,35,147,129,Native catalog/configuration and delivered hardware state not yet verified,https://support.industry.siemens.com/cs/attachments/109977233/s71500_cpu1511_1_pn_dtc_manual_en-US_en-US.pdf,2026-08-02,=FC01+CP01-A100
-A101,High-speed counter,Siemens,TM Count 2x24V,6ES7550-1AA01-0AB0,1,Selected baseline,Native catalog selection required,35,147,129,Two channels selected; TO configuration and K-factor inputs open,https://support.industry.siemens.com/teddatasheet/?caller=SIOS&format=pdf&language=en&mlfbs=6ES7550-1AA01-0AB0,2026-08-02,=FC01+CP01-A101
-A102,Digital input,Siemens,DI 32x24V DC HF,6ES7521-1BL00-0AB0,1,Selected baseline,Native catalog selection required,35,147,129,Front connector and channel parameters included separately,https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/6ES7521-1BL00-0AB0,2026-08-02,=FC01+CP01-A102
-A103,Digital output,Siemens,DQ 32x24V DC/0.5A HF,6ES7522-1BL01-0AB0,1,Selected baseline,Native catalog selection required,35,147,129,Field loads use interposing relays,https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/6ES7522-1BL01-0AB0,2026-08-02,=FC01+CP01-A103
-A104,Analog input,Siemens,AI 8xU/I HF,6ES7531-7NF00-0AB0,1,Selected baseline,Native catalog selection required,35,147,129,4-20 mA channel diagnostics require native parameterization,https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/6ES7531-7NF00-0AB0,2026-08-02,=FC01+CP01-A104
-H100,Operator panel,Siemens,MTP700 Unified Comfort,6AV2128-3GB06-0AX1,1,Selected baseline,WinCC Unified V20 target,214,158,63.6,Door cutout 198.3 x 142 mm; native HMI project/compile open,https://support.industry.siemens.com/teddatasheet/?caller=SIOS&format=pdf&language=en&mlfbs=6AV2128-3GB06-0AX1,2026-08-02,=FC01+CP01-H100
-U100,Conveyor drive,Siemens,SINAMICS G120C PN 0.75 kW unfiltered,6SL3210-1KE12-3UF2,1,Provisional,Startdrive selection open,73,196,225.4,SELECTED ENVELOPE; drive rating/duty and Startdrive configuration remain provisional,https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/6SL3210-1KE12-3UF2,2026-08-02,=FC01+CP01-U100
-U101,Pump drive,Siemens,SINAMICS G120C PN 0.75 kW unfiltered,6SL3210-1KE12-3UF2,1,Provisional,Startdrive selection open,73,196,225.4,SELECTED ENVELOPE; drive rating/duty and Startdrive configuration remain provisional,https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/6SL3210-1KE12-3UF2,2026-08-02,=FC01+CP01-U101
-SW100,Managed Ethernet switch,Siemens,SCALANCE XC208 managed,6GK5208-0BA00-2AC2,1,Selected network baseline,Native configuration open,60,147,125,VLAN-capable Layer 2 switch; firewall/router required for inter-zone traffic,https://support.industry.siemens.com/teddatasheet/?caller=SIOS&format=pdf&language=en&mlfbs=6GK5208-0BA00-2AC2,2026-08-02,=FC01+CP01-SW100
-FW100,Industrial firewall/router,Siemens,SCALANCE S615 EEC,6GK5615-0AA01-2AA2,1,Selected network baseline,Native configuration open,35,147,127,SELECTED NETWORK BASELINE — native configuration and site policy open,https://mall.industry.siemens.com/mall/en/oeii/Catalog/Product?SiepCountryCode=OE&mlfb=6GK5615-0AA01-2AA2,2026-08-02,=FC01+CP01-FW100
-PC200,Vision edge compute,NVIDIA,Jetson Orin NX 16GB on industrial carrier,,1,Architecture only,JetPack/DeepStream image not selected,115,165,80,"TBD — NOT PROCUREMENT OR CONSTRUCTION DATA; confirm industrial carrier, thermal solution, EMC and lifecycle",https://developer.nvidia.com/deepstream-sdk,2026-08-02,=FC01+CP01-PC200
