hmi_tag,plc_source,access,command,request_seq,accepted_seq,rejected_seq,disabled_reason,role,screen
STATUS_MACHINE_STATE,DB_HMI.StateCode,Read only,No,,,,,Operator,Overview
STATUS_AUTO_STEP,DB_HMI.AutoStepCode,Read only,No,,,,,Operator,Overview
STATUS_QUALITY_HOLD,DB_HMI.QualityHold,Read only,No,,,,,Operator,Overview
STATUS_FIRST_OUT_ALARM,DB_HMI.FirstOutAlarm,Read only,No,,,,,Operator,Alarms
STATUS_SAFETY_OK,DB_IO.Inputs.SafetyOk,Read only,No,,,,,Operator,Diagnostics
STATUS_GUARD_CLOSED_STATUS,DB_IO.Inputs.GuardClosed,Read only,No,,,,,Operator,Diagnostics
STATUS_AIR_PRESSURE_OK,DB_IO.Inputs.AirPressureOk,Read only,No,,,,,Operator,Diagnostics
STATUS_PRODUCT_SUPPLY_OK,DB_IO.Inputs.ProductSupplyOk,Read only,No,,,,,Operator,Diagnostics
STATUS_BOTTLE_AT_NEST_1,DB_IO.Inputs.Bottle1Present,Read only,No,,,,,Operator,Overview
STATUS_BOTTLE_AT_NEST_2,DB_IO.Inputs.Bottle2Present,Read only,No,,,,,Operator,Overview
STATUS_GATE_OPEN_FB,DB_IO.Inputs.GateOpen,Read only,No,,,,,Operator,Diagnostics
STATUS_GATE_CLOSED_FB,DB_IO.Inputs.GateClosed,Read only,No,,,,,Operator,Diagnostics
STATUS_CLAMP_RELEASED_FB,DB_IO.Inputs.ClampReleased,Read only,No,,,,,Operator,Diagnostics
STATUS_CLAMP_ENGAGED_FB,DB_IO.Inputs.ClampEngaged,Read only,No,,,,,Operator,Diagnostics
STATUS_FILL_VALVE_1_CLOSED_FB,DB_IO.Inputs.Valve1Closed,Read only,No,,,,,Operator,Filling
STATUS_FILL_VALVE_2_CLOSED_FB,DB_IO.Inputs.Valve2Closed,Read only,No,,,,,Operator,Filling
STATUS_FLOW_1_MA_RAW,DB_IO.Inputs.Flow1Raw,Read only,No,,,,,Operator,Filling
STATUS_FLOW_2_MA_RAW,DB_IO.Inputs.Flow2Raw,Read only,No,,,,,Operator,Filling
STATUS_FLOW_1_DELIVERED_ML,DB_CellMain.FillCh1.DeliveredMl,Read only,No,,,,,Operator,Filling
