decision_id,decision,rationale,consequence
ADR-C-001,TIA Portal V20 remains authoritative; CPU baseline is 1AL03 FS03/FW4.0,Official manual identifies native V20 support for FW4.0; later FW4.1 requires reviewed handling,Delivered CPU state must be checked; FS04/FW4.1 may require V21 or predecessor-mode validation
ADR-C-002,G120C Standard Telegram 1 is primary control,Removes contradictory hardwired run/status architecture,STO remains external; native Startdrive confirmation is mandatory
ADR-C-003,XC208 plus S615 implements three network zones,XB008 6GK5008-0BA10-1AB2 is unmanaged and cannot implement VLAN/firewall policy,Exact configuration and site approval remain open
ADR-C-004,Quality uncertainty always holds product,NVIDIA is non-safety quality inspection and cannot grant transfer without matched result,Operator disposition confirms removal; reset never releases held product
ADR-D-001,Vision result sampled on the discrete timeout scan has declared success precedence,The PLC processes a sampled valid result before evaluating the still-active timer condition,Independent tests lock the boundary convention; native TIA/PLCSIM confirmation remains required
ADR-D-002,First fill measurement window is startup settling; comparison arms on window two,Avoids pump-acceleration false trips without masking a zero-pulse failure,Window timing and thresholds require wet commissioning
ADR-D-003,Counter rollover is accepted only in a controlled high-to-low band,Ordinary counter regression/reset must not create a huge delivered-volume delta,Native TM Count reset/retention behavior must be confirmed
ADR-D1-001,Git staged/index and HEAD blobs are the only release-byte authorities,Revision D manifest hashes were created from OneDrive CRLF worktree bytes that differed from published Git blobs,Manifest build rejects unstaged/untracked inputs; final acceptance requires clean-clone HEAD verification
ADR-D1-002,PLC session identity and approved model configuration are retained while all commands are explicitly decommanded on startup,A restart must not reuse the prior transaction namespace or re-energize stale requests,Native TIA retentivity and OB100 behavior require compile/PLCSIM confirmation
ADR-D1-003,An edge result remains immutable until exact same-session acknowledgement,Transport or heartbeat faults must not silently erase the publication needed for deterministic PLC cleanup,"Only a serially advanced disabled session may invalidate prior-session publication, and that event is recorded"
ADR-E-001,A PLC-to-edge request is level-held until coherent BUSY observation or a terminal result,A one-scan PLC pulse is not a reliable request primitive for a polling OPC UA client,Session/InspectionId/payload remain immutable while pending; duplicate polls and reconnects are idempotent
ADR-E-002,Native CAD/QET proof outranks generated views only when the exact source reopens and recorded exports verify,Filename presence is not native engineering evidence,Gates derive from controlled native verification records; historical baselines never represent Revision E
ADR-F-001,Use hybrid calibrated deterministic vision plus learned segmentation/detection/anomaly scoring,"Transparent bottles, fill lines, glare, foam and spills need geometry and localized evidence; global classification alone obscures failure cause",Final method and thresholds require physical optical feasibility and representative data
ADR-F-002,Transport 47 typed PLC-AI nodes while deriving result age in the PLC,PLC monotonic timing is authoritative; edge UTC timestamps remain diagnostics and cannot overcome clock discontinuity,No RESULT_AGE_MS edge node; HMI reads the PLC-derived value
ADR-F-003,Tie target compatibility to DeepStream/JetPack rather than the latest generic TensorRT,NVIDIA platform matrices differ between Jetson DeepStream and generic releases,DeepStream 9.1/JetPack 7.2 remains provisional; TAO 7.0.1 and TensorRT 11.1 are tracked separately
ADR-F-004,Synthetic fixtures validate software plumbing only,Generated or mock data cannot establish production optical/model performance,"All accuracy, threshold and latency gates remain blocked until approved real data and target hardware exist"
