signal,node_id,direction
VISION_ENABLE,ns=3;s=FC01.Vision.VISION_ENABLE,PLC_to_NVIDIA
INSPECTION_TRIGGER,ns=3;s=FC01.Vision.INSPECTION_TRIGGER,PLC_to_NVIDIA
INSPECTION_ID,ns=3;s=FC01.Vision.INSPECTION_ID,PLC_to_NVIDIA
RECIPE_ID,ns=3;s=FC01.Vision.RECIPE_ID,PLC_to_NVIDIA
EXPECTED_BOTTLES,ns=3;s=FC01.Vision.EXPECTED_BOTTLES,PLC_to_NVIDIA
TARGET_FILL_LEVEL,ns=3;s=FC01.Vision.TARGET_FILL_LEVEL,PLC_to_NVIDIA
PLC_HEARTBEAT,ns=3;s=FC01.Vision.PLC_HEARTBEAT,PLC_to_NVIDIA
VISION_READY,ns=3;s=FC01.Vision.VISION_READY,NVIDIA_to_PLC
VISION_BUSY,ns=3;s=FC01.Vision.VISION_BUSY,NVIDIA_to_PLC
RESULT_VALID,ns=3;s=FC01.Vision.RESULT_VALID,NVIDIA_to_PLC
RESULT_ID,ns=3;s=FC01.Vision.RESULT_ID,NVIDIA_to_PLC
BOTTLE_1_PASS,ns=3;s=FC01.Vision.BOTTLE_1_PASS,NVIDIA_to_PLC
BOTTLE_2_PASS,ns=3;s=FC01.Vision.BOTTLE_2_PASS,NVIDIA_to_PLC
FILL_1_STATUS,ns=3;s=FC01.Vision.FILL_1_STATUS,NVIDIA_to_PLC
FILL_2_STATUS,ns=3;s=FC01.Vision.FILL_2_STATUS,NVIDIA_to_PLC
LEAK_OR_SPILL_DETECTED,ns=3;s=FC01.Vision.LEAK_OR_SPILL_DETECTED,NVIDIA_to_PLC
LOW_CONFIDENCE,ns=3;s=FC01.Vision.LOW_CONFIDENCE,NVIDIA_to_PLC
VISION_WARNING,ns=3;s=FC01.Vision.VISION_WARNING,NVIDIA_to_PLC
VISION_FAULT,ns=3;s=FC01.Vision.VISION_FAULT,NVIDIA_to_PLC
INFERENCE_TIME,ns=3;s=FC01.Vision.INFERENCE_TIME,NVIDIA_to_PLC
VISION_HEARTBEAT,ns=3;s=FC01.Vision.VISION_HEARTBEAT,NVIDIA_to_PLC
VISION_RESULT_ACK_ID,ns=3;s=FC01.Vision.VISION_RESULT_ACK_ID,PLC_to_NVIDIA
VISION_SESSION_EPOCH,ns=3;s=FC01.Vision.VISION_SESSION_EPOCH,PLC_to_NVIDIA
VISION_RESULT_SESSION_EPOCH,ns=3;s=FC01.Vision.VISION_RESULT_SESSION_EPOCH,NVIDIA_to_PLC
VISION_DIAG_REASON,ns=3;s=FC01.Vision.VISION_DIAG_REASON,PLC_to_NVIDIA
VISION_MODEL_ID,ns=3;s=FC01.Vision.VISION_MODEL_ID,NVIDIA_to_PLC
VISION_MODEL_SHA256,ns=3;s=FC01.Vision.VISION_MODEL_SHA256,NVIDIA_to_PLC
