gate,acceptance_gate,status,evidence_or_blocker
1,Requirements/interfaces traceable,PARTIAL,"Controlled model, native-workstream schedules and tests are traceable; identified requirements-owner approval is absent"
2,Canonical model reconciles schedules,PASS,Revision-E deterministic validator and source/schedule/native-evidence contracts pass; see current automated report for exact count
3,Siemens hardware baseline confirmed,PARTIAL,V20/FW4.0 source baseline and selected envelopes documented; authorized native catalog confirmation and delivered-state evidence remain open
4,Native TIA project opens,BLOCKED,No genuine AP20 project; active identity is not TIA Engineer/Openness-authorized and V20 entitlement is unproven
5,Native TIA archive restores,BLOCKED,No genuine ZAP20 archive exists; native authorized project creation/restoration was not available
6,PLC compiles zero errors,BLOCKED,67 source/simulator contracts pass at Revision-E authoring time; TIA V20 compile was not run
7,HMI compiles zero errors,BLOCKED,WinCC V20 components exist but no authorized/licensed native HMI project or compile is proven
8,Startdrive configured/reviewed,BLOCKED,"Startdrive is not installed; motor, pump and site inputs are also missing"
9,PLCSIM traces pass,BLOCKED,PLCSIM/PLCSIM Advanced are not installed; deterministic Python evidence is explicitly independent
10,Revision-E QET reopens and reconciles,PARTIAL,"Corrected 26-folio QET source BCA022BE0B9F65AA061F9731C1EE0BD0399947F04C94EE596D4AD231BB47AAD5 passes 24/24 static and 6/6 contract checks; exact corrected hash was not natively reopened/exported, so native reconciliation remains partial"
11,Schematics export and all-page visual review,BLOCKED,Native QET PDF export was not completed and only sampled folios were inspected; all-page visual and native cross-reference review remain blocked
12,Revision-E FCStd reopens,PASS,FreeCADCmd independently reopened 165 objects / 148 controlled solids; STEP retained 148 solids; IGES retained bounded face geometry; DXF entities and 30 scheduled holes reconciled
13,STEP/IGES/DXF reimport,PASS,FreeCADCmd independently reopened 165 objects / 148 controlled solids; STEP retained 148 solids; IGES retained bounded face geometry; DXF entities and 30 scheduled holes reconciled
14,Full BOM/panel layout reconcile,PARTIAL,"Revision-E native layout covers selected architecture and controlled provisional envelopes; final carrier, terminal/relay families, vendor clearances, thermal and construction inputs remain open"
15,Electrical calculations confirmed,BLOCKED,"Supply, earthing, fault current, motors/pump, cable routes, installation method, ambient and enclosure/site requirements remain unconfirmed"
16,Real NVIDIA dataset controlled,BLOCKED,No representative labeled project dataset or golden/negative image sets were supplied
17,Genuine model training/evaluation,BLOCKED,"No controlled dataset, training run, evaluated model, ONNX export or defensible metrics exist"
18,TensorRT/DeepStream target runtime,BLOCKED,"No selected industrial Jetson carrier/runtime image; CUDA Toolkit, TensorRT, DeepStream and TAO are absent locally"
19,PLC-NVIDIA failure tests,PASS,"Source/simulator, edge-service, interface-harness and real asyncua encrypted server/client integration tests pass; production PLC/Jetson endpoint validation remains outside this local gate"
20,FAT/SAT/commissioning,OPEN,"Controlled procedures issued; no FAT, SAT or commissioning was executed"
21,Qualified safety activities,BLOCKED,"Project-specific qualified machinery-safety engineering, verification and validation are external and not performed"
22,Manifest independently verifies,PASS,"Published candidate b9633c6255fe34e48a1be34afe5024935f48651e was cloned afresh from GitHub outside OneDrive and passed the complete HEAD workflow: manifest 310/310 with zero discrepancies, integrity 534/534, validator 551/551, all tests/native checks, deterministic artifacts and clean state"
