time_ms,state,state_age_ms,power_available,hmi_comms_ok,conveyor_cmd,gate_close_cmd,clamp_cmd,pump_cmd,valve_1_cmd,valve_2_cmd,gate_closed_fb,gate_open_fb,clamp_engaged_fb,bottle_1_positioned,bottle_2_positioned,pulse_1,pulse_2,analog_flow_1_ml_s,analog_flow_2_ml_s,volume_1_ml,volume_2_ml,inspection_trigger,inspection_id,vision_ready,vision_busy,result_valid,result_id,plc_heartbeat,vision_heartbeat,capper_request,capper_ready,capper_busy,capper_complete,first_out_fault,hold_reason,restart_inhibit,released
0,STOPPED,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,True,False
20,STOPPED,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,True,False
40,STOPPED,40,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,True,False
60,STOPPED,60,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,True,False
80,STOPPED,80,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,True,False
100,STOPPED,100,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
120,STOPPED,120,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
140,STOPPED,140,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
160,STOPPED,160,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
180,STOPPED,180,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
200,STOPPED,200,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
220,STOPPED,220,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
240,STOPPED,240,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
260,INITIALIZING,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
280,INITIALIZING,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,False,False,False,,,False,False
