gap_id,requirement_area,inherited_evidence,revision_f_action,verification,evidence_class,external_closure
GF-001,Release configuration control,Revision-E deterministic overlay and clean-clone release,Add Revision-F overlay ECR document/gate updates CI manifest and clean-clone workflow,Generator parity plus manifest and fresh clone,LOCALLY_ACHIEVABLE,None after final clean-clone verification
GF-002,Camera and input abstraction,No production backend in inherited main entrypoint,Implement camera interface directory recorded-image and clearly synthetic input,Unit tests with synthetic fixtures,LOCALLY_ACHIEVABLE,Representative camera hardware/data for production acceptance
GF-003,Preprocess/model/postprocess pipeline,Protocol and no-model backend only,Implement bounded adapters preprocessing postprocessing and mock backend,Unit and integration tests,LOCALLY_ACHIEVABLE,Approved trained model and target runtime
GF-004,Configuration integrity,Typed procedural configuration checks,Add versioned schema unknown-key rejection semantic validation and bundle hashes,Schema/configuration tests,LOCALLY_ACHIEVABLE,Site secrets and production PKI configuration
GF-005,Durable audit records,Structured logs and metrics only,Add bounded durable event store and fail-closed storage behavior,Write/reopen/corrupt/unwritable tests,LOCALLY_ACHIEVABLE,Production storage sizing and retention owner
GF-006,Expanded PLC-AI contract,27-node encrypted immutable transaction,Add capture processing disposition reason confidence identity timestamp and health nodes,47-node schedule/SCL/adapter parity plus tests,LOCALLY_ACHIEVABLE,Native TIA compile and production PLC endpoint
GF-007,AI fault matrix,Selected failures across 32 process scenarios and unit tests,Add 28 named structured behavioral fault injections and invariant checks,Revision-F behavioral-model tests and deterministic outputs,LOCALLY_ACHIEVABLE,Repeat applicable cases in PLCSIM/HIL/FAT
GF-008,Dataset manifest and splitting,Empty manifest and brief guide,Add hashing validation duplicate/near-duplicate framework lot-grouped split and QA tools,Synthetic-fixture tests only,LOCALLY_ACHIEVABLE,Representative multi-lot labeled dataset
GF-009,Evaluation and thresholds,Unexecuted report and model card,Add schemas confusion/per-class FAR/FRR threshold and latency harnesses,Synthetic-fixture tooling tests only,LOCALLY_ACHIEVABLE,Approved held-out real dataset and target measurements
GF-010,Optics engineering,Short FOV note and provisional concept,Add optical method trade study commissioning calibration focus-lock and image checklist,Document/link/consistency validation,LOCALLY_ACHIEVABLE,Physical bottle/liquid/camera/lens/light trial
GF-011,HMI diagnostics,Six inherited vision HMI tags,Add identity disposition reasons confidence age latency health maintenance and troubleshooting definitions,Schedule/SCL/HMI contract tests,LOCALLY_ACHIEVABLE,Native WinCC compile and usability review
GF-012,Electrical integration,One aggregate 100 W placeholder,Partition protected edge camera lighting service branches and reserve terminals/cables/ports,Schedule totals and cross-reference checks,LOCALLY_ACHIEVABLE,Final devices/site/protection/thermal data
GF-013,QElectroTech native evidence,Corrected source 24/24 static and 6/6 contracts,Retry exact-hash native reopen/export and retain delta separately,Native executable/hash/export/page evidence,LOCALLY_ACHIEVABLE,Qualified construction review and Revision-F native schematic update
GF-014,Panel CAD,Revision-E selected architecture 80/80 native verification,Retain verified geometry; document provisional carrier/cooling boundary,Inherited native evidence plus unchanged-hash check,VERIFIED_BASELINE,Final carrier/cooling/vendor clearances
GF-015,NVIDIA version policy,DeepStream 9.1 planning baseline,Verify DeepStream 9.1 TAO 7.0.1 TensorRT 11.1 and platform-specific compatibility,Official-source register and toolchain audit,LOCALLY_ACHIEVABLE,Approved target image and lifecycle owner
GF-016,NVIDIA runtime execution,RTX 5060 driver only,Record exact absent CUDA/TAO/TensorRT/DeepStream/Docker/WSL evidence,Toolchain audit,BLOCKED_SOFTWARE_RUNTIME,Install approved Linux/container stack and target hardware
GF-017,Siemens native execution,TIA V20 components observed,Maintain import-ready artifacts and exact closure runbook,Source contracts only,BLOCKED_LICENSE_SOFTWARE,Authorized licensed TIA/WinCC/Startdrive/PLCSIM engineer
GF-018,Physical validation,None,Issue commissioning/fault/maintenance procedures and acceptance records,Procedure review only,BLOCKED_PHYSICAL,Execute optical trial FAT SAT and commissioning
GF-019,Functional safety,Conceptual boundary only,Retain explicit non-safety ownership and prohibited-use statement,Text and architecture checks,BLOCKED_QUALIFIED_PERSON,Project-specific qualified machinery-safety lifecycle
GF-020,Visual release artifacts,21-sheet workbook and five-page Revision-E PDF,Update render and inspect every modified sheet/page,Formula scan deterministic hashes and visual review,LOCALLY_ACHIEVABLE,None after final controlled review
