tag,full_designation,description,order_no,category,x_mm,y_mm,z_mm,width_mm,height_mm,depth_mm,mounting,zone,dimension_basis,engineering_status,top_clearance_mm,bottom_clearance_mm,side_clearance_mm,heat_loss_w,controlled_physical,notes
-EN100,=FC01+CP01-EN100,-EN100 back,,Enclosure,0,0,0,800,800,3,Fabricated enclosure,Enclosure,Inherited 800 x 800 x 300 mm controlled concept; vendor/enclosure series open,"PROVISIONAL — SELECT ENCLOSURE AND CONFIRM IP/NEMA, environment and door load",0,0,0,TBD,True,
-EN100,=FC01+CP01-EN100,-EN100 left wall,,Enclosure,0,0,0,3,800,300,Fabricated enclosure,Enclosure,Inherited 800 x 800 x 300 mm controlled concept; vendor/enclosure series open,"PROVISIONAL — SELECT ENCLOSURE AND CONFIRM IP/NEMA, environment and door load",0,0,0,TBD,True,
-EN100,=FC01+CP01-EN100,-EN100 right wall,,Enclosure,797,0,0,3,800,300,Fabricated enclosure,Enclosure,Inherited 800 x 800 x 300 mm controlled concept; vendor/enclosure series open,"PROVISIONAL — SELECT ENCLOSURE AND CONFIRM IP/NEMA, environment and door load",0,0,0,TBD,True,
-EN100,=FC01+CP01-EN100,-EN100 bottom wall,,Enclosure,0,0,0,800,3,300,Fabricated enclosure,Enclosure,Inherited 800 x 800 x 300 mm controlled concept; vendor/enclosure series open,"PROVISIONAL — SELECT ENCLOSURE AND CONFIRM IP/NEMA, environment and door load",0,0,0,TBD,True,
-EN100,=FC01+CP01-EN100,-EN100 top wall,,Enclosure,0,797,0,800,3,300,Fabricated enclosure,Enclosure,Inherited 800 x 800 x 300 mm controlled concept; vendor/enclosure series open,"PROVISIONAL — SELECT ENCLOSURE AND CONFIRM IP/NEMA, environment and door load",0,0,0,TBD,True,
-EN100-DR,=FC01+CP01-EN100-DR,Enclosure door with HMI and isolator cutouts,,Enclosure,0,0,297,800,800,3,Hinged door,Door,Controlled geometry; hinge series and reinforcement open,"PROVISIONAL — CONFIRM DOOR STIFFNESS, hinge load and ingress protection",0,0,0,TBD,True,
-MP100,=FC01+CP01-MP100,750 x 750 x 3 mm drilled mounting plate,,Infrastructure,25,25,15,750,750,3,Enclosure mounting plate,All,Controlled conceptual plate with scheduled holes,NATIVE GEOMETRY VERIFIED; ALL DRILLING REMAINS NOT FOR CONSTRUCTION PENDING VENDOR CONFIRMATION,0,0,0,TBD,True,
-RA100,=FC01+CP01-RA100,DIN rail R1 — PLC/network,,Infrastructure,300,630,18,420,7.5,7.5,Mounting plate,Mixed — see description,35 mm DIN rail simplified section; length controlled by layout,"PROVISIONAL — rail family, end clamps and fixings require selection",0,0,0,TBD,True,
-RA101,=FC01+CP01-RA101,DIN rail R2 — control power,,Infrastructure,300,400,18,320,7.5,7.5,Mounting plate,Mixed — see description,35 mm DIN rail simplified section; length controlled by layout,"PROVISIONAL — rail family, end clamps and fixings require selection",0,0,0,TBD,True,
-RA102,=FC01+CP01-RA102,DIN rail R3 — relays/protection,,Infrastructure,300,260,18,400,7.5,7.5,Mounting plate,Mixed — see description,35 mm DIN rail simplified section; length controlled by layout,"PROVISIONAL — rail family, end clamps and fixings require selection",0,0,0,TBD,True,
-RA103,=FC01+CP01-RA103,DIN rail R4 — field terminals,,Infrastructure,75,110,18,660,7.5,7.5,Mounting plate,Mixed — see description,35 mm DIN rail simplified section; length controlled by layout,"PROVISIONAL — rail family, end clamps and fixings require selection",0,0,0,TBD,True,
-WD100,=FC01+CP01-WD100,Mains/drive vertical routing,,Infrastructure,45,175,18,25,545,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD101,=FC01+CP01-WD101,Power/control segregation barrier,,Infrastructure,260,175,18,25,545,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD102,=FC01+CP01-WD102,Network/vision vertical routing,,Infrastructure,740,175,18,25,545,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD110,=FC01+CP01-WD110,Top control-row horizontal duct,,Infrastructure,285,535,18,455,25,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD111,=FC01+CP01-WD111,Control/relay horizontal duct,,Infrastructure,285,330,18,455,25,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD112,=FC01+CP01-WD112,Relay/terminal horizontal duct,,Infrastructure,285,205,18,455,20,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
