signal,function,field_device,field_designation,field_pin,cable_id,cable_core,field_terminal,panel_terminal,internal_wire,interposing_device,module,module_designation,module_terminal,plc_address,potential,return_common,shield_termination,conductor_mm2,color,destination,status
SAFETY_OK,Safety-interface monitor contact supply,-K100,=FC01+CP01-K100,13,,,-K100:13,,W0001,,-A102,=FC01+CP01-A102,0,I0.0,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
SAFETY_OK,Safety-interface monitor contact signal,-K100,=FC01+CP01-K100,14,,,-K100:14,,W0002,,-A102,=FC01+CP01-A102,0,I0.0,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:0,Controlled Rev-C connection; native QET continuity verification remains open
GUARD_CLOSED_STATUS,Guard-monitor contact signal,-S102,=FC01+FLD-S102,2,C001,1,-S102:2,X100:1,W0003,,-A102,=FC01+CP01-A102,1,I0.1,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:1,Controlled Rev-C connection; native QET continuity verification remains open
GUARD_CLOSED_STATUS,Guard-monitor contact supply,-S102,=FC01+FLD-S102,1,C001,2,-S102:1,X100:2,W0004,,-A102,=FC01+CP01-A102,1,I0.1,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
AIR_PRESSURE_OK,PNP signal,-B100,=FC01+FLD-B100,4,C002,1,-B100:4,X100:3,W0005,,-A102,=FC01+CP01-A102,2,I0.2,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:2,Controlled Rev-C connection; native QET continuity verification remains open
AIR_PRESSURE_OK,Sensor/interface supply,-B100,=FC01+FLD-B100,1,C002,2,-B100:1,X100:4,W0006,,-A102,=FC01+CP01-A102,2,I0.2,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
AIR_PRESSURE_OK,Sensor/interface return,-B100,=FC01+FLD-B100,3,C002,3,-B100:3,X100:5,W0007,,-A102,=FC01+CP01-A102,2,I0.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
PRODUCT_SUPPLY_OK,PNP signal,-B101,=FC01+FLD-B101,4,C003,1,-B101:4,X100:6,W0008,,-A102,=FC01+CP01-A102,3,I0.3,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:3,Controlled Rev-C connection; native QET continuity verification remains open
PRODUCT_SUPPLY_OK,Sensor/interface supply,-B101,=FC01+FLD-B101,1,C003,2,-B101:1,X100:7,W0009,,-A102,=FC01+CP01-A102,3,I0.3,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
PRODUCT_SUPPLY_OK,Sensor/interface return,-B101,=FC01+FLD-B101,3,C003,3,-B101:3,X100:8,W0010,,-A102,=FC01+CP01-A102,3,I0.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
BOTTLE_AT_NEST_1,PNP signal,-B110,=FC01+FLD-B110,4,C004,1,-B110:4,X100:9,W0011,,-A102,=FC01+CP01-A102,10,I1.2,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:10,Controlled Rev-C connection; native QET continuity verification remains open
