cable_id,from_location,to_device,to_designation,cable_type,installed_cores,allocated_cores,spare_cores,core_range,shield,route_zone,status
C001,=FC01+CP01 panel terminals,-S102,=FC01+FLD-S102,Industrial control,4,2,2,1-2,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C002,=FC01+CP01 panel terminals,-B100,=FC01+FLD-B100,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C003,=FC01+CP01 panel terminals,-B101,=FC01+FLD-B101,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C004,=FC01+CP01 panel terminals,-B110,=FC01+FLD-B110,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C005,=FC01+CP01 panel terminals,-B111,=FC01+FLD-B111,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C006,=FC01+CP01 panel terminals,-B120,=FC01+FLD-B120,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C007,=FC01+CP01 panel terminals,-B121,=FC01+FLD-B121,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C008,=FC01+CP01 panel terminals,-B122,=FC01+FLD-B122,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C009,=FC01+CP01 panel terminals,-B123,=FC01+FLD-B123,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C010,=FC01+CP01 panel terminals,-B130,=FC01+FLD-B130,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C011,=FC01+CP01 panel terminals,-B131,=FC01+FLD-B131,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C012,=FC01+CP01 panel terminals,-IF140,=FC01+FLD-IF140,Industrial control,12,8,4,1-8,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C013,=FC01+CP01 panel terminals,-S100,=FC01+FLD-S100,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C014,=FC01+CP01 panel terminals,-S101,=FC01+FLD-S101,Industrial control,4,3,1,1-3,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C015,=FC01+CP01 panel terminals,-YV102,=FC01+FLD-YV102,Industrial control,4,2,2,1-2,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C016,=FC01+CP01 panel terminals,-YV103,=FC01+FLD-YV103,Industrial control,4,2,2,1-2,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C017,=FC01+CP01 panel terminals,-YV100,=FC01+FLD-YV100,Industrial control,8,4,4,1-4,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C018,=FC01+CP01 panel terminals,-YV101,=FC01+FLD-YV101,Industrial control,8,4,4,1-4,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C019,=FC01+CP01 panel terminals,-H101,=FC01+FLD-H101,Industrial control,12,8,4,1-8,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C020,=FC01+CP01 panel terminals,-LT200,=FC01+FLD-LT200,Industrial control,4,2,2,1-2,Panel-end clamp only where scheduled,24 VDC control,Length and final cable family open
C021,=FC01+CP01 panel terminals,-FT100,=FC01+FLD-FT100,Shielded instrumentation,8,6,2,1-6,Panel-end clamp only where scheduled,Analog/instrument,Length and final cable family open
C022,=FC01+CP01 panel terminals,-FT101,=FC01+FLD-FT101,Shielded instrumentation,8,6,2,1-6,Panel-end clamp only where scheduled,Analog/instrument,Length and final cable family open
