scenario,final_state,released,pump_cmd,valve_1_cmd,valve_2_cmd,automatic_restart,evidence,duration_ms,transition_count,fault_code,hold_reason,pulse_1,pulse_2,volume_1_ml,volume_2_ml,inspection_id,result_id,invariant_violations,transitions
normal_two_bottle_cycle,READY,True,False,False,False,False,matched fresh vision result accepted; transfer and capper busy/complete handshake observed,7540,15,,,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:TRANSFER > 6520:CAPPER_WAIT_BUSY > 6740:CAPPER_WAIT_COMPLETE > 7440:READY
single_missing_bottle,FAULTED,False,False,False,False,False,first-out SINGLE_BOTTLE_MISSING; commands de-energized; explicit new start required,4080,5,SINGLE_BOTTLE_MISSING,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 3580:FAULTED
both_bottles_missing,FAULTED,False,False,False,False,False,first-out BOTTLE_POSITION_TIMEOUT; commands de-energized; explicit new start required,4080,5,BOTTLE_POSITION_TIMEOUT,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 3580:FAULTED
bottle_sensor_stuck_on,FAULTED,False,False,False,False,False,first-out BOTTLE_SENSOR_STUCK_ON; commands de-energized; explicit new start required,1100,5,BOTTLE_SENSOR_STUCK_ON,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 600:FAULTED
bottle_sensor_stuck_off,FAULTED,False,False,False,False,False,first-out BOTTLE_POSITION_TIMEOUT; commands de-energized; explicit new start required,4080,5,BOTTLE_POSITION_TIMEOUT,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 3580:FAULTED
gate_timeout,FAULTED,False,False,False,False,False,first-out GATE_CLOSE_TIMEOUT; commands de-energized; explicit new start required,3140,6,GATE_CLOSE_TIMEOUT,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2640:FAULTED
clamp_timeout,FAULTED,False,False,False,False,False,first-out CLAMP_ENGAGE_TIMEOUT; commands de-energized; explicit new start required,3440,7,CLAMP_ENGAGE_TIMEOUT,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2940:FAULTED
contradictory_actuator_feedback,FAULTED,False,False,False,False,False,first-out GATE_FEEDBACK_CONTRADICTION; commands de-energized; explicit new start required,520,2,GATE_FEEDBACK_CONTRADICTION,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 20:FAULTED
flow_channel_no_pulse,FAULTED,False,False,False,False,False,first-out FLOW_1_NO_PULSE; commands de-energized; explicit new start required,3500,9,FLOW_1_NO_PULSE,,0,124,146.659,124.096,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 3000:FAULTED
flow_analog_pulse_disagreement,FAULTED,False,False,False,False,False,first-out FLOW_1_ANALOG_PULSE_DISAGREEMENT; commands de-energized; explicit new start required,3540,9,FLOW_1_ANALOG_PULSE_DISAGREEMENT,,157,132,157.059,132.896,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 3040:FAULTED
underfill,HOLDING,False,False,False,False,False,quality hold: VISION_FILL_OUT_OF_RANGE,6040,12,VISION_FILL_OUT_OF_RANGE,VISION_FILL_OUT_OF_RANGE,514,511,421.504,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:HOLDING
overfill,HOLDING,False,False,False,False,False,quality hold: VISION_FILL_OUT_OF_RANGE,6040,12,VISION_FILL_OUT_OF_RANGE,VISION_FILL_OUT_OF_RANGE,514,511,606.555,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:HOLDING
valve_fails_to_close,FAULTED,False,False,False,False,False,first-out VALVE_1_FAILS_TO_CLOSE; commands de-energized; explicit new start required,5040,9,VALVE_1_FAILS_TO_CLOSE,,558,462,558.23,462.896,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4540:FAULTED
pump_vfd_fault,FAULTED,False,False,False,False,False,first-out PUMP_VFD_FAULT; commands de-energized; explicit new start required,3160,9,PUMP_VFD_FAULT,,58,49,58.259,49.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2660:FAULTED
conveyor_vfd_fault,FAULTED,False,False,False,False,False,first-out CONVEYOR_VFD_FAULT; commands de-energized; explicit new start required,1380,5,CONVEYOR_VFD_FAULT,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 880:FAULTED
