time_ms,state,state_age_ms,power_available,hmi_comms_ok,conveyor_cmd,gate_close_cmd,clamp_cmd,pump_cmd,valve_1_cmd,valve_2_cmd,gate_closed_fb,gate_open_fb,clamp_engaged_fb,bottle_1_positioned,bottle_2_positioned,pulse_1,pulse_2,analog_flow_1_ml_s,analog_flow_2_ml_s,volume_1_ml,volume_2_ml,inspection_trigger,inspection_id,vision_ready,vision_busy,result_valid,result_id,plc_heartbeat,vision_heartbeat,capper_request,capper_ready,capper_busy,capper_complete,first_out_fault,hold_reason,restart_inhibit,released
0,STOPPED,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
20,STOPPED,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
40,STOPPED,40,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
60,STOPPED,60,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
80,STOPPED,80,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
100,STOPPED,100,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
120,STOPPED,120,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
140,STOPPED,140,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
160,STOPPED,160,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
180,STOPPED,180,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
200,STOPPED,200,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
220,STOPPED,220,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
240,STOPPED,240,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
260,INITIALIZING,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
280,INITIALIZING,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
300,INITIALIZING,40,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
320,INITIALIZING,60,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
340,INITIALIZING,80,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
360,INITIALIZING,100,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
380,INITIALIZING,120,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
400,INITIALIZING,140,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
420,INITIALIZING,160,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
440,INITIALIZING,180,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
460,INITIALIZING,200,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,False,False
480,INITIALIZING,220,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,1,False,True,False,False,,,False,False
500,INITIALIZING,240,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
520,INITIALIZING,260,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
540,INITIALIZING,280,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
560,READY,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
580,INDEXING,0,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
600,INDEXING,20,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
620,INDEXING,40,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
640,INDEXING,60,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
660,INDEXING,80,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
680,INDEXING,100,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
700,INDEXING,120,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
720,INDEXING,140,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
740,INDEXING,160,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
760,INDEXING,180,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
780,INDEXING,200,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
800,INDEXING,220,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
820,INDEXING,240,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
840,INDEXING,260,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
860,INDEXING,280,True,True,True,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,False,False
880,FAULTED,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
900,FAULTED,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
920,FAULTED,40,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
940,FAULTED,60,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
960,FAULTED,80,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
980,FAULTED,100,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1000,FAULTED,120,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1020,FAULTED,140,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1040,FAULTED,160,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1060,FAULTED,180,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1080,FAULTED,200,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1100,FAULTED,220,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1120,FAULTED,240,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1140,FAULTED,260,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1160,FAULTED,280,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1180,FAULTED,300,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1200,FAULTED,320,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1220,FAULTED,340,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1240,FAULTED,360,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1260,FAULTED,380,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1280,FAULTED,400,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1300,FAULTED,420,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1320,FAULTED,440,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1340,FAULTED,460,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1360,FAULTED,480,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
1380,FAULTED,500,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,CONVEYOR_VFD_FAULT,,False,False
