time_ms,state,state_age_ms,power_available,hmi_comms_ok,conveyor_cmd,gate_close_cmd,clamp_cmd,pump_cmd,valve_1_cmd,valve_2_cmd,gate_closed_fb,gate_open_fb,clamp_engaged_fb,bottle_1_positioned,bottle_2_positioned,pulse_1,pulse_2,analog_flow_1_ml_s,analog_flow_2_ml_s,volume_1_ml,volume_2_ml,inspection_trigger,inspection_id,vision_ready,vision_busy,result_valid,result_id,plc_heartbeat,vision_heartbeat,capper_request,capper_ready,capper_busy,capper_complete,first_out_fault,hold_reason,restart_inhibit,released
0,STOPPED,0,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
20,FAULTED,0,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
40,FAULTED,20,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
60,FAULTED,40,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
80,FAULTED,60,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
100,FAULTED,80,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
120,FAULTED,100,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
140,FAULTED,120,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
160,FAULTED,140,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
180,FAULTED,160,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
200,FAULTED,180,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
220,FAULTED,200,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
240,FAULTED,220,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
260,FAULTED,240,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
280,FAULTED,260,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
300,FAULTED,280,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
320,FAULTED,300,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
340,FAULTED,320,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
360,FAULTED,340,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
380,FAULTED,360,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
400,FAULTED,380,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
420,FAULTED,400,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
440,FAULTED,420,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
460,FAULTED,440,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
480,FAULTED,460,True,True,False,False,False,False,False,False,True,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,1,False,True,False,False,GATE_FEEDBACK_CONTRADICTION,,True,False
